Station,Station code,Location,State or province,Route
Berkeley,BKY,Berkeley,CA,Capitol Corridor
Berlin,BER,Berlin,CT,"Hartford Line
  Northeast Regional
  Valley Flyer
  Vermonter"
Bingen–White Salmon,BNG,Bingen,WA,Empire Builder
Birmingham,BHM,Birmingham,AL,Crescent
Bloomington–Normal ,BNL,Normal,IL,"Lincoln Service
  Texas Eagle"
Boston Back Bay,BBY,Boston,MA,"Acela
  Lake Shore Limited
  Northeast Regional"
Boston North,BON,Boston,MA,Downeaster
Boston South ,BOS,Boston,MA,"Acela
  Lake Shore Limited
  Northeast Regional"
Brattleboro,BRA,Brattleboro,VT,Vermonter
Bridgeport,BRP,Bridgeport,CT,"Northeast Regional
  Vermonter"
Brookhaven,BRH,Brookhaven,MS,City of New Orleans
Browning,BRO,Browning,MT,Empire Builder
Brunswick,BRK,Brunswick,ME,Downeaster
Bryan,BYN,Bryan,OH,Lake Shore Limited
Buffalo–Depew,BUF,Depew,NY,"Empire Service
  Lake Shore Limited
  Maple Leaf"
Buffalo–Exchange Street,BFX,Buffalo,NY,"Empire Service
  Maple Leaf"
Burbank Airport ,BUR,Burbank,CA,"Coast Starlight
  Pacific Surfliner"
Burke Centre,BCV,Burke,VA,Northeast Regional
Burlington,BRL,Burlington,IA,California Zephyr
Burlington,BNC,Burlington,NC,"Carolinian
  Piedmont"
BWI Thurgood Marshall Airport ,BWI,Linthicum,MD,"Acela
  Northeast Regional
  Palmetto
  Vermonter"
Camarillo,CML,Camarillo,CA,Pacific Surfliner
Camden,CAM,Camden,SC,Silver Star
Carbondale ,CDL,Carbondale,IL,"City of New Orleans
  Illini and Saluki"
Carlinville,CRV,Carlinville,IL,"Lincoln Service
  Texas Eagle"
Carpinteria ,CPN,Carpinteria,CA,Pacific Surfliner
Cary,CYN,Cary,NC,"Carolinian
  Piedmont
  Silver Star"
Castleton,CNV,Castleton,VT,Ethan Allen Express
Centralia,CEN,Centralia,IL,"City of New Orleans
  Illini and Saluki"
Centralia,CTL,Centralia,WA,"Amtrak Cascades
  Coast Starlight"
Champaign–Urbana ,CHM,Champaign,IL,"City of New Orleans
  Illini and Saluki"
Charleston,CHS,North Charleston,SC,"Palmetto
  Silver Meteor"
Charleston,CHW,Charleston,WV,Cardinal
Charlotte,CLT,Charlotte,NC,"Carolinian
  Crescent
  Piedmont"
Charlottesville ,CVS,Charlottesville,VA,"Cardinal
  Crescent
  Northeast Regional"
Chatsworth,CWT,Chatsworth,CA,Pacific Surfliner
Chemult,CMO,Chemult,OR,Coast Starlight
Chicago Union,CHI,Chicago,IL,"Blue Water
  California Zephyr
  Capitol Limited
  Cardinal
  City of New Orleans
  Empire Builder
  Hiawatha Service
  Illini and Saluki
  Illinois Zephyr and Carl Sandburg
  Lake Shore Limited
  Lincoln Service
  Pere Marquette
  Southwest Chief
  Texas Eagle
  Wolverine"
Chico ,CIC,Chico,CA,Coast Starlight
Cincinnati,CIN,Cincinnati,OH,Cardinal
Claremont,CLA,Claremont,NH,Vermonter
Cleburne,CBR,Cleburne,TX,Texas Eagle
Clemson,CSN,Clemson,SC,Crescent
Cleveland,CLE,Cleveland,OH,"Capitol Limited
  Lake Shore Limited"
Clifton Forge,CLF,Clifton Forge,VA,Cardinal
Coatesville,COT,Coatesville,PA,Keystone Service
Colfax,COX,Colfax,CA,California Zephyr
Columbia,CLB,Columbia,SC,Silver Star
Columbus,CBS,Columbus,WI,Empire Builder
Connellsville,COV,Connellsville,PA,Capitol Limited
Connersville,COI,Connersville,IN,Cardinal
Corcoran,COC,Corcoran,CA,San Joaquins
Cornwells Heights,CWH,Cornwells Heights,PA,"Keystone Service
  Northeast Regional"
Crawfordsville,CRF,Crawfordsville,IN,Cardinal
Creston,CRN,Creston,IA,California Zephyr
Croton–Harmon,CRT,Croton-on-Hudson,NY,"Adirondack
  Empire Service
  Ethan Allen Express
  Lake Shore Limited
  Maple Leaf"
Culpeper,CLP,Culpeper,VA,"Cardinal
  Crescent
  Northeast Regional"
Cumberland,CUM,Cumberland,MD,Capitol Limited
Cut Bank,CUT,Cut Bank,MT,Empire Builder
Dallas,DAL,Dallas,TX,Texas Eagle
Danville,DAN,Danville,VA,Crescent
Davis,DAV,Davis,CA,"California Zephyr
  Capitol Corridor
  Coast Starlight"
Dearborn ,DER,Dearborn,MI,Wolverine
Deerfield Beach,DFB,Deerfield Beach,FL,"Silver Meteor
  Silver Star"
Del Rio,DRT,Del Rio,TX,"Sunset Limited
  Texas Eagle"
DeLand,DLD,DeLand,FL,"Silver Meteor
  Silver Star"
Delray Beach,DLB,Delray Beach,FL,"Silver Meteor
  Silver Star"
Deming,DEM,Deming,NM,"Sunset Limited
  Texas Eagle"
Denmark,DNK,Denmark,SC,Silver Star
Denver,DEN,Denver,CO,"California Zephyr
  Winter Park Express"
Detroit ,DET,Detroit,MI,Wolverine
Detroit Lakes,DLK,Detroit Lakes,MN,Empire Builder
Devils Lake,DVL,Devils Lake,ND,Empire Builder
Dillon,DIL,Dillon,SC,Palmetto
Dodge City,DDG,Dodge City,KS,Southwest Chief
Dover,DOV,Dover,NH,Downeaster
Dowagiac,DOA,Dowagiac,MI,"Blue Water
  Wolverine"
Downingtown,DOW,Downingtown,PA,Keystone Service
Du Quoin,DQN,Du Quoin,IL,Illini and Saluki
Dunsmuir,DUN,Dunsmuir,CA,Coast Starlight
Durand,DRD,Durand,MI,Blue Water
Durham,DNC,Durham,NC,"Carolinian
  Piedmont"
Durham–UNH,DHM,Durham,NH,Downeaster
Dwight,DWT,Dwight,IL,Lincoln Service
Dyer,DYE,Dyer,IN,Cardinal
East Glacier Park,GPK,East Glacier Park,MT,Empire Builder
East Lansing ,LNS,East Lansing,MI,Blue Water
Edmonds,EDM,Edmonds,WA,"Amtrak Cascades
  Empire Builder"
Effingham,EFG,Effingham,IL,"City of New Orleans
  Illini and Saluki"
El Paso,ELP,El Paso,TX,"Sunset Limited
  Texas Eagle"
Elkhart,EKH,Elkhart,IN,"Capitol Limited
  Lake Shore Limited"
Elizabethtown,ELT,Elizabethtown,PA,"Keystone Service
  Pennsylvanian"
Elko,ELK,Elko,NV,California Zephyr
Elyria,ELY,Elyria,OH,"Capitol Limited
  Lake Shore Limited"
Emeryville ,EMY,Emeryville,CA,"California Zephyr
  Capitol Corridor
  Coast Starlight
  San Joaquins"
Ephrata ,EPH,Ephrata,WA,Empire Builder
Erie,ERI,Erie,PA,Lake Shore Limited
Essex,ESM,Essex,MT,Empire Builder
Essex Junction,ESX,Essex Junction,VT,Vermonter
Eugene–Springfield ,EUG,Eugene,OR,"Amtrak Cascades
  Coast Starlight"
Everett ,EVR,Everett,WA,"Amtrak Cascades
  Empire Builder"
Exeter,EXR,Exeter,NH,Downeaster
Exton,EXT,Exton,PA,"Keystone Service
  Pennsylvanian"
Fairfield–Vacaville,FFV,Fairfield,CA,Capitol Corridor
Fargo,FAR,Fargo,ND,Empire Builder
Fayetteville,FAY,Fayetteville,NC,"Palmetto
  Silver Meteor"
Flagstaff,FLG,Flagstaff,AZ,Southwest Chief
Flint,FLN,Flint,MI,Blue Water
Florence,FLO,Florence,SC,"Palmetto
  Silver Meteor"
Fort Edward,FED,Fort Edward,NY,"Adirondack
  Ethan Allen Express"
Fort Lauderdale,FTL,Fort Lauderdale,FL,"Silver Meteor
  Silver Star"
Fort Madison,FMD,Fort Madison,IA,Southwest Chief
Fort Morgan,FMG,Fort Morgan,CO,California Zephyr
Fort Worth,FTW,Fort Worth,TX,"Heartland Flyer
  Texas Eagle"
Framingham,FRA,Framingham,MA,Lake Shore Limited
Fraser–Winter Park,WIP,Fraser,CO,California Zephyr
Fredericksburg,FBG,Fredericksburg,VA,"Carolinian
  Northeast Regional
  Silver Meteor"
Freeport,FRE,Freeport,ME,Downeaster
Fremont,FMT,Fremont,CA,Capitol Corridor
Fresno,FNO,Fresno,CA,San Joaquins
Fullerton,FUL,Fullerton,CA,"Pacific Surfliner
  Southwest Chief"
